cds_id	plc124_fluc_rep01	plc124_fluc_rep02	plc124_fluc_rep03	plc124_ut_rep01	plc124_ut_rep02	plc124_ut_rep03
XP_722572.1	2992	2693	2910	2696	2872	2889
XP_722573.2	92	67	83	95	125	102
XP_722574.1	7	11	5	10	18	1
XP_722575.2	1982	2035	1963	2002	2179	2180
XP_722576.1	466	484	461	392	494	617
XP_722577.2	2907	2558	2774	2773	2965	2853
XP_722578.2	685	645	702	722	714	779
XP_722579.2	809	680	672	815	934	759
XP_722581.2	1839	1688	1787	1938	2070	1889
XP_722582.2	818	664	631	770	811	824
XP_722583.2	60	61	37	34	59	26
XP_722584.2	71	71	55	100	96	58
XP_722585.1	1818	1449	1873	1703	1792	1896
XP_722586.2	1019	779	946	1060	1064	767
XP_722587.1	2213	1871	2095	2154	2474	2344
XP_722588.1	2339	1929	2238	2072	2222	2410
XP_722589.1	1705	1412	1577	1665	1608	1996
XP_722590.2	255	195	200	181	242	191
XP_722591.2	291	246	314	307	309	326
XP_722592.2	3951	3824	3864	3616	3782	4090
XP_722595.1	3684	2534	3655	3344	3490	3913
XP_722594.1	7	19	9	7	22	16
XP_019330751.1	12081	9836	12063	11421	12592	13636
XP_722598.2	6204	5568	6270	6260	7121	6738
XP_722599.2	347	295	437	334	368	414
XP_722601.1	13935	9911	13019	12540	14126	14446
XP_722602.1	8957	7336	9455	8412	8949	10975
XP_722604.1	557	358	469	441	530	496
XP_722605.2	1233	860	1079	944	1104	1001
XP_722606.2	3925	3179	3815	3498	4096	3937
XP_722607.2	9809	8077	9630	8925	9637	10875
XP_722608.2	10363	8499	9949	9233	10134	10147
XP_722609.2	2413	2248	2221	2328	2507	2566
XP_722611.2	16574	15993	16159	16814	19366	16895
XP_722612.2	8317	6406	8101	5219	5468	5906
XP_019330752.1	18	18	18	20	38	20
XP_722615.2	9861	8088	10083	9463	10400	10825
XP_722616.2	661	707	696	885	1163	778
XP_722617.1	5682	3600	4969	5174	5342	5194
XP_722618.2	1588	1280	1479	1553	1611	1592
XP_722619.1	67	35	36	53	66	22
XP_722620.2	23091	23602	23204	22835	24987	25757
XP_722622.2	145	118	117	136	149	85
XP_019330753.1	370	217	291	329	373	238
XP_722626.1	719	587	695	746	747	727
XP_722627.2	1918	1414	1803	1995	2021	2097
XP_722628.1	537	416	581	561	618	540
XP_722629.1	226	214	245	264	250	204
XP_722630.2	1110	839	1038	1101	1252	1035
XP_722631.1	1171	961	1169	1106	1152	1082
XP_019330754.1	2	14	1	8	11	8
XP_715381.1	578	447	574	540	570	527
XP_715380.2	236	158	223	249	221	165
XP_715379.2	3227	2468	3275	3161	3532	3613
XP_715378.1	3980	2862	3550	3320	3536	3624
XP_715377.1	798	582	706	646	724	807
XP_715375.1	3474	3008	3531	3234	3599	3799
XP_715374.2	10776	9371	10509	10339	11438	11958
XP_715373.1	3401	2693	3467	3130	3255	3742
XP_715372.2	10074	7070	9628	8442	9427	9765
XP_715371.1	92	81	112	125	155	86
XP_715370.2	10253	9748	10231	9899	11214	12448
XP_715369.1	8394	6328	8452	8764	8864	9119
XP_715368.2	534	409	487	438	508	479
XP_715367.2	86	60	108	110	114	58
XP_019330755.1	1101	752	1079	943	1066	1190
XP_715366.1	1473	1298	1666	1370	1448	2038
XP_715365.1	1659	1201	1496	1462	1626	1748
XP_715364.1	12028	7906	10274	10448	11099	10563
XP_715362.2	1979	2091	2087	1982	2358	2017
XP_715361.2	73	60	65	74	63	33
XP_715359.1	3646	3060	3213	3233	3502	3191
XP_019330756.1	1004	753	914	849	861	1017
XP_715357.1	905	754	857	876	820	1045
XP_715356.1	1490	1126	1211	1273	1587	1175
XP_715355.1	270	218	233	283	302	259
XP_019330757.1	60	77	58	62	62	43
XP_715354.1	170	81	122	90	118	106
XP_715353.1	6769	5348	6518	5744	6533	6930
XP_715352.2	1658	986	1625	1733	1688	1904
XP_715350.2	130	95	128	116	111	96
XP_715349.2	1389	1119	1421	1564	1673	1497
XP_715347.2	91761	60736	83406	80042	87197	81487
XP_715346.2	3736	2653	3822	3080	3487	3703
XP_715345.2	4805	4140	4978	5051	5591	5954
XP_715343.2	2237	1666	2239	2201	2173	2789
XP_715342.1	24105	16964	22766	21948	23100	24599
XP_715340.1	1424	920	1031	1238	1600	641
XP_715339.2	1750	1570	1803	1622	1662	1521
XP_715338.1	443	384	468	436	447	511
XP_715337.1	1157	1037	1119	1002	1247	1355
XP_715334.1	7339	6124	7248	6458	6814	7794
XP_715333.2	1606	1307	1521	1475	1592	1601
XP_715332.2	46122	28598	41271	44840	48548	41762
XP_715330.2	2893	1991	2808	2374	2496	3215
XP_019330758.1	602985	386328	560161	562240	609979	563580
XP_715326.2	185	133	141	49	61	65
XP_715325.1	238	228	249	308	321	212
XP_715324.2	2910	2056	2671	2508	2529	2783
XP_715323.2	2333	2220	2475	2403	2500	2849
XP_715321.2	658	453	658	623	821	801
XP_715320.1	42242	30769	39749	40906	43426	43563
XP_715319.1	236	189	232	178	234	184
XP_715318.2	46058	39584	43811	46030	52368	48373
XP_721029.1	1777	1576	1744	1590	1600	1645
XP_019330759.1	878	563	789	713	662	723
XP_721028.2	5073	3524	3850	4507	4754	2725
XP_721027.1	4635	3835	4194	4120	4563	4366
XP_721025.1	9572	7631	8769	10638	11792	8754
XP_721024.2	1559	1268	1422	1407	1581	1442
XP_721023.1	713	538	634	642	631	685
XP_721022.1	80645	51345	77494	61649	71982	76558
XP_721021.2	16974	12645	15857	16384	18006	17032
XP_721020.2	278	169	255	225	260	240
XP_721019.2	3880	2659	3802	3240	3455	4128
XP_721018.1	739	608	722	785	820	833
XP_721017.2	1955	1587	1700	1972	2275	1905
XP_721016.1	7152	5088	6979	6464	7154	7624
XP_721015.2	1555	1370	1647	1575	1670	1518
XP_721014.2	122	95	72	103	167	62
XP_721012.1	12438	9387	10330	12273	14266	10774
XP_721010.2	1112	833	1065	1168	1440	1276
XP_721009.2	4058	2592	3615	4264	5929	3167
XP_721005.2	7238	5483	7113	6603	7174	6843
XP_721004.1	1758	1494	1777	1633	1719	1726
XP_721003.2	7294	5207	7080	7038	7404	7456
XP_721002.2	2379	1989	2209	2257	2660	2230
XP_721001.2	966	626	974	800	979	945
XP_720999.1	2189	1193	1815	1996	2299	2016
XP_720998.2	1718	1550	1672	1728	1706	1691
XP_720997.1	1846	1493	1820	1807	1885	2273
XP_019330760.1	10875	9395	9559	10281	11729	9202
XP_720995.1	716	449	495	741	834	361
XP_720994.2	4566	4251	4707	4738	5586	5371
XP_720991.2	3989	2942	3749	4312	4964	4116
XP_720990.2	1501	1344	1304	1440	1522	1481
XP_720989.2	646	430	548	680	746	559
XP_720987.2	4602	4254	4679	4532	5061	5221
XP_720986.1	5262	4407	5028	5360	5829	5446
XP_720985.2	658	367	581	541	646	675
XP_720984.1	794	538	808	767	906	819
XP_720983.1	969	756	1051	976	1094	1061
XP_720981.2	361	217	359	441	386	309
XP_720980.1	586	441	554	523	563	546
XP_720979.1	52	50	73	70	75	65
XP_720978.1	609	402	528	537	609	603
XP_720977.1	59	56	56	91	66	47
XP_720976.2	424	311	500	441	486	463
XP_720975.1	846	792	822	819	906	837
XP_720974.2	701	615	640	680	770	661
XP_720973.2	56	78	62	83	79	21
XP_720972.1	11	5	2	10	11	6
XP_720971.1	1794	1733	1816	1646	1774	1653
XP_720970.2	3541	3037	3437	3388	3982	3979
XP_720968.2	2504	2269	2530	2481	2721	2869
XP_720967.2	2829	2570	2798	2690	2914	3341
XP_720966.2	1258	989	1254	968	1190	1168
XP_720965.2	3401	3436	3771	3515	3889	4211
XP_019330761.1	107361	70387	111744	92976	98649	122563
XP_019330762.1	115265	88507	112528	106318	116218	123006
XP_720963.2	3332	2969	3421	3079	3467	3715
XP_019330763.1	427	383	349	477	431	475
XP_720961.1	525	499	525	429	396	565
XP_019330764.1	468	390	419	373	509	426
XP_720960.2	332	353	305	376	395	397
XP_720959.2	4549	3974	4692	4836	5036	4577
XP_720958.2	1559	1497	1523	1397	1626	1684
XP_720956.2	3067	3231	3194	3000	3463	3001
XP_720955.2	1621	1545	1519	1655	1711	1866
XP_720953.2	12835	10447	12148	12748	14154	12394
XP_720952.1	5281	4889	4893	5095	5430	5198
XP_019330765.1	28944	17511	28372	23324	23996	28508
XP_019330766.1	556	384	485	577	546	532
XP_720950.1	2616	2173	2314	2351	2612	2591
XP_720949.2	4194	3102	3760	3995	4383	3572
XP_720947.1	18	15	24	28	24	28
XP_720946.1	25	40	30	32	39	37
XP_720944.1	2556	1990	2593	2569	2678	2764
XP_720943.1	3591	3177	3284	3097	3240	3958
XP_720940.2	1694	1605	1654	1805	1858	1699
XP_720939.2	11882	10193	10552	10833	12457	10613
XP_720938.2	1072	808	932	940	1046	968
XP_720937.1	10699	9831	11572	10641	11872	12578
XP_720936.2	69	43	41	78	82	23
XP_720935.2	721	762	773	680	788	795
XP_019330767.1	387	368	360	369	441	329
XP_720933.2	4688	4763	5091	4718	5524	5735
XP_720932.1	2839	2624	2838	2998	3200	3501
XP_720931.1	6252	5711	6683	6416	7026	8007
XP_720930.2	2186	1527	2234	2027	2269	2443
XP_720929.1	1850	1329	1882	1850	1887	2213
XP_019330768.1	8503	4602	7612	7141	7550	7837
XP_720928.2	737	457	555	721	702	510
XP_720927.2	2012	1424	1770	1892	2143	2043
XP_720925.2	5282	4391	5771	5875	6507	6775
XP_720923.2	459	387	485	450	438	493
XP_019330769.1	7307	5831	7341	7108	7410	8351
XP_720921.1	1560	989	1196	1397	1567	893
XP_720920.1	1218	1025	958	976	1227	1072
XP_720919.1	1441	1424	1352	1436	1634	1518
XP_720918.2	1054	1044	1009	1147	1229	1202
XP_720917.2	1034	995	994	907	993	987
XP_019330770.1	138	119	110	135	178	137
XP_710126.1	47	32	58	52	49	48
XP_710125.1	456	304	275	325	409	225
XP_710124.1	21111	14313	19043	11109	12423	11978
XP_710123.2	323	340	343	341	341	389
XP_712946.1	2160	1946	1885	1859	1935	1809
XP_712945.1	384	326	334	374	400	387
XP_712944.2	2938	3021	2970	2836	3126	2986
XP_712943.1	3106	2739	3104	3367	3727	3308
XP_712942.1	4637	5172	4200	4436	4557	4157
XP_712941.1	2468	2252	2352	2217	2330	2402
XP_712940.1	54	54	60	61	61	32
XP_712939.1	5062	4377	4576	4846	5677	4763
XP_712937.2	444	335	404	394	509	397
XP_712936.2	192	153	147	206	196	185
XP_712935.1	6	12	8	12	13	7
XP_712934.2	47	61	46	50	69	51
XP_712933.2	103	117	133	125	130	126
XP_712932.1	355	265	278	311	323	263
XP_712931.1	83	66	83	62	102	66
XP_712930.2	202	100	156	153	208	159
XP_712929.2	4574	4029	4797	4428	4874	5826
XP_712928.2	15743	13388	14299	15705	18237	15591
XP_712925.1	1892	1673	1841	1820	1991	1899
XP_712924.1	322	293	233	259	349	323
XP_712923.2	325	352	305	308	366	461
XP_712922.2	2777	2230	2555	2475	2627	2535
XP_712921.1	24569	18792	23464	22175	24301	24259
XP_712920.1	562	540	575	503	646	539
XP_712918.2	1415	1530	1581	1718	2071	1853
XP_712917.2	5702	5907	5335	5239	5710	5546
XP_019330771.1	4061	2510	2631	3706	4241	2259
XP_712916.1	70556	50732	63071	62206	69442	63569
XP_712915.2	6093	7079	6752	6339	7316	7567
XP_710595.2	2132	2361	1788	1936	2254	2062
XP_710597.2	2143	2400	2202	2222	2391	2588
XP_710598.2	1376	1278	1093	1381	1675	1146
XP_710600.2	40	40	33	62	48	25
XP_710601.1	2526	1660	2316	2127	2406	2713
XP_710602.2	853	824	785	798	966	716
XP_710605.2	860	1089	892	883	907	848
XP_710606.1	2083	1939	1929	2052	2295	1859
XP_710607.2	1302	1065	1252	1215	1233	1209
XP_710621.1	1201	1336	1260	1147	1284	1269
XP_710620.2	109	128	115	94	148	98
XP_710619.2	770	695	638	686	689	601
XP_710618.1	2919	2523	2729	3197	3372	2899
XP_710617.1	807	1047	912	980	1160	1081
XP_710615.2	2203	2986	2497	2811	3522	3208
XP_710613.2	3250	2821	2844	3130	3366	3050
XP_710612.2	1131	964	947	1020	1116	1039
XP_710611.1	940	645	709	729	860	657
XP_710610.2	2154	1810	1926	2061	2096	2037
XP_710286.2	275	314	316	255	327	296
XP_019330772.1	3622	3203	3709	2915	3046	3999
XP_710284.1	1010	1024	1010	1075	1152	1180
XP_710282.2	17086	16665	17887	18203	20949	20620
XP_714880.2	825	470	666	729	847	654
XP_714883.2	3717	3284	3844	3659	3870	4460
XP_714885.1	1194	886	1252	1147	1228	1262
XP_714886.1	40421	28917	39361	37924	39879	44120
XP_714887.2	1024	954	955	985	1011	964
XP_714888.2	190	135	131	192	203	151
XP_714889.1	1866	2087	1801	1753	1840	2117
XP_714890.1	612	480	462	420	581	527
XP_714891.1	3267	3260	3552	3032	3180	4037
XP_714892.1	1175	1047	1133	1003	1028	1090
XP_019330773.1	2897	2183	2905	2566	2711	3312
XP_714894.1	3791	2806	3649	3520	3837	3913
XP_714895.1	1671	1384	1625	1444	1502	1638
XP_714896.1	95	52	92	117	93	93
XP_714897.1	260	236	235	278	242	170
XP_714898.1	1002	805	1031	920	1000	1003
XP_714899.2	6292	6070	6660	6184	6852	8028
XP_714900.1	22185	17179	21819	20074	21847	22745
XP_714901.2	4233	3148	4033	3512	3937	4166
XP_714903.1	123	126	141	145	184	148
XP_714904.1	1286	876	1037	1326	1426	888
XP_714905.1	834	562	751	715	832	730
XP_714906.2	11996	10890	12218	11136	11985	14065
XP_714907.1	498	192	292	565	569	201
XP_019330774.1	34232	17664	36196	23919	26050	27585
XP_714908.1	2258	1865	2136	1981	2064	2168
XP_714909.2	1570	1391	1376	1674	2019	1671
XP_714910.1	328	305	404	312	349	400
XP_714911.2	8013	7243	7465	7735	8443	7526
XP_714912.1	4215	3728	3950	3717	3872	4142
XP_714913.1	5451	4626	4722	4597	4973	4610
XP_714914.2	3297	2988	3280	3850	4176	3824
XP_714915.2	12359	10504	11619	11525	12461	12061
XP_714916.1	251	195	291	253	244	347
XP_714917.1	1938	1747	1738	1493	1543	1663
XP_019330775.1	5389	4451	5206	5361	5374	5911
XP_714920.1	1883	1667	1691	1925	2228	1788
XP_714922.2	592	463	422	687	738	453
XP_714923.2	5416	4978	5208	4964	5556	5520
XP_714924.1	257	219	239	219	254	263
XP_714926.1	162	118	148	158	181	143
XP_714927.2	1924	1639	1834	2249	2367	1857
XP_714928.2	1431	1391	1605	1629	1479	1664
XP_714930.1	73	73	67	71	78	42
XP_714931.2	167	147	174	161	171	118
XP_019330776.1	65394	45165	65311	54657	58305	73038
XP_714932.1	1779	1499	1782	1729	1900	1796
XP_714933.1	227	192	305	295	290	234
XP_714934.1	145302	98586	138332	126134	143054	141387
XP_714936.1	4630	3513	4670	4032	4145	4806
XP_019330777.1	563	341	496	493	456	538
XP_714937.1	458	257	349	386	389	393
XP_714938.1	29294	18225	26620	26275	29553	28624
XP_714940.1	1427	1239	1337	1518	1543	1560
XP_019330778.1	1219	1144	1241	1210	1273	1312
XP_714942.2	3233	2682	2993	3259	3844	3203
XP_019330779.1	1983	1523	1943	1788	1972	1972
XP_712798.1	1109	925	1113	933	978	1072
XP_712799.1	809	715	719	812	938	873
XP_712800.1	316	303	274	396	399	291
XP_712801.1	7461	5781	6524	8246	9719	6426
XP_712802.1	1319	1038	1051	1127	1381	1062
XP_712803.1	166270	102871	155081	146865	160335	161242
XP_019330780.1	255	177	208	241	250	249
XP_712804.1	1896	1001	1334	2391	2665	1032
XP_712805.1	3694	3138	3546	3628	3865	3687
XP_712806.2	6320	4586	5954	6052	7288	5846
XP_712808.1	977	813	847	775	775	958
XP_712809.1	2965	2679	2589	3107	3385	2787
XP_712810.1	1464	1217	1444	1299	1398	1308
XP_712811.1	1605	915	1222	1310	1622	878
XP_019330781.1	56780	42934	57123	47686	47999	62855
XP_712812.2	8407	6561	7505	7208	7773	7429
XP_712813.2	1996	1676	1937	1835	2027	2023
XP_712814.1	1689	1502	1865	1685	2005	2049
XP_712815.2	3466	4250	4089	3680	4321	5053
XP_712816.1	5812	4064	5860	5384	5396	6568
XP_019330782.1	509	468	481	646	652	548
XP_712818.1	1271	900	958	1330	1489	689
XP_019330783.1	6930	5737	7395	7154	7575	8830
XP_712822.2	2955	2493	2996	2901	3244	3433
XP_710912.1	967	520	631	782	1016	550
XP_710913.2	819	699	750	751	834	820
XP_710914.1	2067	1686	1996	1953	1964	2031
XP_710915.2	2302	1987	2115	1957	2238	2348
XP_710917.2	1674	1530	1670	1529	1667	1705
XP_710918.2	256	196	221	270	286	225
XP_019330784.1	623	463	602	620	657	588
XP_710919.2	5059	3601	4788	4835	5144	5589
XP_019330785.1	50	34	42	72	98	44
XP_710921.2	1271	944	1194	1417	1887	1210
XP_019330786.1	9022	6817	8336	8124	8679	8325
XP_019330787.1	6746	4124	5994	5760	6249	5390
XP_710922.1	1230	983	1184	1092	1097	1130
XP_710923.1	159	131	182	153	204	219
XP_710924.2	1254	806	1196	1020	979	1073
XP_710925.1	516	402	555	412	557	611
XP_714292.2	1739	1175	1602	1546	1504	1931
XP_714291.1	139	108	140	130	134	100
XP_714290.2	1908	1658	1946	1710	1946	2013
XP_714289.2	2487	2263	2419	2455	2517	2586
XP_714288.1	8873	6713	8192	7939	8183	7782
XP_714287.2	1098	1011	1035	1072	1101	1083
XP_714286.2	581	408	458	479	634	479
XP_714284.2	343	267	347	406	376	331
XP_714282.2	2106	1644	2001	1863	1961	2180
XP_714281.2	2467	2138	2450	2399	2716	2554
XP_714280.2	14069	10435	13352	13197	14125	15061
XP_714278.1	1786	1392	1603	1555	1638	1576
XP_714277.1	222	161	173	225	270	133
XP_714276.1	1481	1147	1462	1517	1560	1741
XP_714275.1	93	76	78	84	74	53
XP_714273.1	4331	3291	3875	3996	4415	3879
XP_714272.1	393	300	402	389	452	508
XP_714270.2	19909	15751	19262	19290	22115	22214
XP_711471.1	43	64	75	60	94	30
XP_711472.1	6097	4346	5650	5618	5908	5598
XP_711475.1	3439	3078	3586	3284	3519	4378
XP_711476.1	3844	2730	3077	3212	3726	2693
XP_711477.1	504	403	526	466	506	515
XP_711478.1	5893	4979	5992	5453	6396	6681
XP_019330788.1	657	612	625	707	637	643
XP_711479.1	8466	6190	7788	8152	8366	8036
XP_711480.1	305	277	327	255	316	295
XP_711481.2	206	151	185	231	310	133
XP_711483.2	227	224	185	278	309	176
XP_019330789.1	13096	9150	13217	12031	12210	14766
XP_711484.1	833	611	875	729	742	993
XP_711485.1	7086	3815	4653	6206	7794	4088
XP_711487.1	5913	4890	5414	6000	7039	5877
XP_711488.1	1837	1558	1761	1878	2060	1878
XP_711489.1	225	160	229	225	270	145
XP_711490.2	41	29	23	41	41	13
XP_711491.1	3455	3948	3627	3701	4092	4450
XP_711824.2	176	181	152	184	204	180
XP_019330790.1	41003	29389	37048	33439	34250	36752
XP_711827.1	7343	5840	6799	7527	8394	7986
XP_711828.1	287	192	189	296	290	261
XP_711829.1	867	732	722	810	1010	994
XP_711830.2	1158	959	1133	1142	1242	1334
XP_711831.1	4680	3325	4478	5210	5979	5390
XP_711832.1	2331	1820	2248	2059	2381	2481
XP_711833.1	1387	1222	1353	1299	1456	1500
XP_019330791.1	255	208	164	325	392	172
XP_711835.1	599	437	574	667	669	697
XP_711836.1	427	419	359	504	519	425
XP_711837.1	24406	19746	22712	21974	24027	22925
XP_711838.1	121	92	117	122	145	111
XP_711840.1	445	286	470	288	354	357
XP_711841.1	73	103	67	96	98	50
XP_711842.2	2010	2076	1921	1974	2219	2121
XP_019330792.1	565	486	488	387	427	421
XP_711843.2	264	289	313	258	315	296
XP_019330793.1	42	35	32	37	28	34
XP_710060.2	27253	26226	25262	27359	30533	26438
XP_709983.2	808	901	885	807	847	896
XP_709982.1	866	892	826	736	896	982
XP_710294.2	4082	3973	3484	4045	4632	3369
XP_710295.1	1481	1266	1393	1225	1466	1491
XP_710296.1	158	255	135	152	199	176
XP_710377.1	985	988	1073	1041	1213	1153
XP_710376.2	206	158	163	164	155	173
XP_710375.2	856	756	828	739	793	754
XP_710374.1	19837	16058	17373	18160	19582	16978
XP_710373.2	1282	1327	1262	1708	2029	1418
XP_710372.1	265	325	209	279	318	151
XP_710371.2	393	436	407	386	528	398
XP_714819.2	768	889	689	718	825	689
XP_714820.1	869	699	809	800	855	920
XP_714821.1	302	188	223	243	235	248
XP_714822.1	736	504	600	708	811	684
XP_019330794.1	40837	29175	39256	31780	33505	38373
XP_714824.1	4558	3583	4283	3974	4064	4523
XP_714827.2	6612	5226	6230	7252	8234	6057
XP_714828.2	37	43	37	53	57	18
XP_019330795.1	652	722	563	667	739	598
XP_714829.2	8153	7482	7387	8415	9848	7781
XP_714832.2	433	450	550	357	409	404
XP_714833.1	803	515	701	732	785	671
XP_714834.1	1177	939	1098	1060	1251	1121
XP_714835.1	1887	1764	1685	1662	1787	1840
XP_714836.1	2792	2089	2801	2506	2499	3126
XP_714837.2	80	93	90	118	168	80
XP_714838.1	1641	1448	1716	1490	1669	1620
XP_714839.2	1277	1070	1159	1213	1258	1202
XP_714840.1	9390	6988	8493	7956	9075	9089
XP_714841.2	746	719	704	740	783	817
XP_714842.1	55	36	41	59	49	24
XP_714843.1	177	130	182	192	134	142
XP_714846.2	2533	2402	2877	2446	2720	3396
XP_019330796.1	8155	6676	7301	7376	8580	7316
XP_714848.2	458	388	449	397	436	528
XP_714849.2	2738	2505	2627	2466	2671	3111
XP_714850.2	1442	1266	1522	1363	1553	1631
XP_714851.2	1299	1044	1394	1130	1230	1605
XP_714852.1	495	462	454	535	589	550
XP_714853.1	1317	1220	1260	1227	1330	1298
XP_714854.2	732	541	619	608	744	621
XP_714855.2	6206	4701	5907	5711	6243	6128
XP_714856.1	2782	2196	2861	2748	2938	2967
XP_714857.1	4059	2615	3661	3849	3870	4685
XP_714858.2	8076	6531	7859	8435	9109	8489
XP_714859.2	1875	1465	1766	1552	1755	2029
XP_714860.2	4529	3516	4364	4531	4710	4830
XP_714862.2	1448	1040	1126	1568	1796	1021
XP_714863.1	213	145	151	176	217	125
XP_714864.1	7228	4677	6525	7148	7614	6755
XP_714865.1	1134	1092	1228	943	1109	1242
XP_714866.2	2664	2219	2623	2477	2589	2930
XP_714867.2	3126	2535	2774	2373	2564	2760
XP_714869.2	425	266	372	491	502	401
XP_714870.1	294	191	239	284	322	258
XP_714871.1	107	86	116	122	145	80
XP_714872.2	2032	1336	1774	2049	2104	1845
XP_714873.2	276	247	279	280	338	297
XP_714874.2	119	100	134	96	107	83
XP_714875.1	11834	7902	10338	8505	9060	9160
XP_714876.2	2080	1391	1963	1809	1885	2198
XP_714877.1	15526	11212	15140	14364	14673	16622
XP_714878.1	7790	5160	7095	6526	7241	7876
XP_714879.2	16871	13621	16283	16980	18950	17990
XP_713159.2	4876	4073	4692	4411	4628	4542
XP_713158.2	11059	7904	10292	10577	10977	11737
XP_713157.1	1270	1000	1175	1300	1443	1021
XP_713154.1	1547	1021	1347	1383	1645	1383
XP_713153.1	91813	60983	82361	94621	100263	87676
XP_713150.2	3850	2790	3530	3814	4351	3700
XP_713148.1	9732	6483	9798	8305	9353	9835
XP_713147.1	2035	1393	1846	1837	1957	2004
XP_713146.2	3260	2382	3308	3005	3075	3751
XP_713145.2	828	749	755	750	798	838
XP_713144.2	1129	884	990	982	1144	1183
XP_713143.1	5526	3721	4889	4909	5025	4899
XP_713142.2	2139	1858	2217	2033	2141	2570
XP_713140.2	5090	4058	5223	5242	5251	5976
XP_713138.2	3928	3212	3912	3031	3360	3627
XP_713137.1	7853	5909	7818	7192	7505	8451
XP_713135.2	2319	1925	2450	1801	1971	2289
XP_713134.2	472	412	348	332	385	436
XP_713133.2	2131	1557	1974	2025	2232	2199
XP_019330797.1	45	54	56	64	52	26
XP_713130.1	6395	4376	6427	5816	6577	6936
XP_713129.1	12069	9388	12207	12184	12723	13952
XP_713128.2	9187	8446	9703	9929	10796	11879
XP_713125.2	521	495	590	462	552	492
XP_713124.2	207	171	159	173	187	175
XP_713123.1	3872	3238	3270	3688	4655	3203
XP_713122.2	10855	8025	10077	6365	7030	7295
XP_713121.1	4116	3659	3966	3713	4410	4501
XP_713120.2	56	48	66	61	81	53
XP_713119.1	1660	1074	1747	1450	1475	1564
XP_713118.1	1305	1185	1167	1279	1500	1336
XP_716057.2	2398	1988	2324	2125	2432	2447
XP_716056.2	5521	4591	5072	5481	6023	5843
XP_716055.1	1237	1352	1484	1488	1780	1852
XP_716054.2	3754	3149	3491	3660	3755	3910
XP_716053.2	801	890	818	835	862	847
XP_716052.1	192	153	183	162	158	172
XP_716051.1	23	27	25	17	15	14
XP_716050.1	447	498	480	488	591	468
XP_716049.2	10992	8453	10655	10387	11494	11302
XP_716048.2	9262	9348	9981	10411	12256	12263
XP_019330798.1	914	579	687	795	848	596
XP_716044.2	824	646	748	783	969	753
XP_019330799.1	146	75	114	133	158	115
XP_716042.1	136	100	109	127	119	131
XP_716041.1	922	774	922	916	848	947
XP_716040.1	3997	3016	3873	3689	3995	4295
XP_716039.2	1168	871	1043	1004	1057	1159
XP_716038.2	2985	2226	2727	2845	2880	3011
XP_716037.2	61	36	66	80	79	38
XP_716036.2	636	548	688	601	600	774
XP_716035.1	0	0	0	0	0	0
XP_716034.1	1395	1180	1324	1336	1406	1473
XP_716033.1	6041	4778	6182	5917	6428	6688
XP_716032.2	5146	3983	4975	5275	5445	5208
XP_019330800.1	824	515	732	738	741	718
XP_716031.2	1137	868	1194	1001	1142	1237
XP_716030.2	229	140	268	296	305	175
XP_716028.2	2819	2012	2495	2665	2733	2869
XP_716027.1	2163	1409	2190	2096	2026	2608
XP_716026.1	5777	4840	6149	5289	6041	6259
XP_716025.1	335	249	279	322	356	272
XP_716024.1	34601	26476	32772	31831	34680	32893
XP_716023.1	11513	9184	9812	10990	13508	9933
XP_716021.1	401	294	364	395	442	272
XP_716022.1	36	38	36	51	47	34
XP_019330801.1	84463	63576	83222	75132	81216	89731
XP_716020.1	1390	897	1245	982	1030	1001
XP_019330802.1	510	302	482	428	427	559
XP_716019.1	3095	2329	3111	3010	3268	3317
XP_716017.2	386	255	353	390	341	436
XP_716018.1	93	57	107	93	105	117
XP_716016.2	551	415	572	498	564	595
XP_716015.2	808	665	746	709	854	785
XP_019330803.1	1232	1025	1189	1123	1250	1295
XP_716013.2	993	1070	915	889	864	1091
XP_716011.2	40337	32435	37043	37829	43117	36941
XP_716010.2	18	16	10	27	39	16
XP_019330804.1	7121	6851	6629	6285	6688	6446
XP_716009.1	61	72	74	56	90	42
XP_019330805.1	3441	4234	3932	3950	4785	4706
XP_716007.1	2073	2043	2021	1967	1955	2006
XP_716006.2	796	733	692	614	730	762
XP_019330806.1	1	3	4	8	12	9
XP_716059.2	2992	2364	2735	3003	3325	3362
XP_716060.2	7	13	13	14	9	3
XP_716062.2	2324	2131	2218	2372	2694	2229
XP_710085.1	819	779	768	754	785	802
XP_710084.1	63	53	56	28	66	60
XP_710236.2	1163	906	1010	1013	1009	1349
XP_710235.2	308	188	264	335	406	282
XP_710234.1	282	285	297	322	364	327
XP_710233.1	27	23	26	30	25	10
XP_717658.2	47	40	15	40	44	16
XP_717657.1	93	89	81	88	101	42
XP_710148.2	13236	8382	12350	12594	13202	12292
XP_710147.2	1553	1366	1563	1534	1638	1769
XP_710146.1	359	293	267	331	357	344
XP_019330807.1	4	6	14	4	7	4
XP_714480.2	454	403	430	485	523	504
XP_714479.2	25	34	28	57	50	12
XP_714477.2	3146	1780	1971	3481	4415	1608
XP_714475.1	247	229	217	206	247	206
XP_714473.2	278	206	236	281	316	261
XP_714472.2	3075	3461	3025	2911	3568	3437
XP_714471.1	4074	3348	3185	3508	3990	2892
XP_714470.1	8781	7371	9087	8811	9081	9888
XP_714469.2	58	78	62	52	77	73
